"","Country","League","Season","Datetime","Home","Away","HG","AG","Res","HAGG","AAGG","AACG","HACG","HTP","ATP","TG","PH","PD","PA"
"1","USA","MLS",2012,2012-03-10,"Colorado Rapids","Columbus Crew",2,0,"H","0","0","2.06","3.4","4.11","USA","USA","USA","USA","USA"
"2","USA","MLS",2012,2012-03-10,"Vancouver Whitecaps","Montreal Impact",2,0,"H","0","0","2.04","3.44","4.11","USA","USA","USA","USA","USA"
"3","USA","MLS",2012,2012-03-11,"DC United","Sporting Kansas City",0,1,"A","0","0","0","0","0","0","1","2.57","3.31","3.04"
"4","USA","MLS",2012,2012-03-11,"Los Angeles Galaxy","Real Salt Lake",1,3,"A","0","0","0","0","0","0","4","1.88","3.57","4.88"
"5","USA","MLS",2012,2012-03-11,"San Jose Earthquakes","New England Revolution",1,0,"H","0","0","0","0","0","0","1","1.83","3.65","4.95"
"6","USA","MLS",2012,2012-03-11,"FC Dallas","New York Red Bulls",2,1,"H","0","0","0","0","0","0","3","2.19","3.48","3.61"
"7","USA","MLS",2012,2012-03-11,"Chivas USA","Houston Dynamo",0,1,"A","0","0","0","0","0","0","1","2.54","3.32","3.07"
"8","USA","MLS",2012,2012-03-13,"Portland Timbers","Philadelphia Union",3,1,"H","0","0","0","0","0","0","4","2.14","3.29","4.01"
"9","USA","MLS",2012,2012-03-17,"Montreal Impact","Chicago Fire",1,1,"D","0","0","0","0","0","0","2","2.71","3.23","2.91"
"10","USA","MLS",2012,2012-03-17,"San Jose Earthquakes","Houston Dynamo",0,1,"A","0","0","0","0","0","0","1","2.54","3.75","2.78"
"11","USA","MLS",2012,2012-03-18,"FC Dallas","Portland Timbers",1,1,"D","0","0","0","0","0","0","2","2.33","3.14","3.65"
"12","USA","MLS",2012,2012-03-18,"Sporting Kansas City","New England Revolution",3,0,"H","0","0","0","0","0","0","3","1.51","4.42","7.64"
"13","USA","MLS",2012,2012-03-18,"Real Salt Lake","New York Red Bulls",2,0,"H","0","0","0","0","0","0","2","2.04","3.51","4.05"
"14","USA","MLS",2012,2012-03-18,"Seattle Sounders","Toronto FC",3,1,"H","0","0","0","0","0","0","4","1.63","3.9","6.6"
"15","USA","MLS",2012,2012-03-18,"Chivas USA","Vancouver Whitecaps",0,1,"A","0","0","0","0","0","0","1","2.15","3.55","3.69"
"16","USA","MLS",2012,2012-03-18,"Philadelphia Union","Colorado Rapids",1,2,"A","0","0","0","0","0","0","3","2.44","3.16","3.39"
"17","USA","MLS",2012,2012-03-18,"Los Angeles Galaxy","DC United",3,1,"H","0","0","0","0","0","0","4","1.63","3.96","6.47"
"18","USA","MLS",2012,2012-03-24,"Seattle Sounders","Houston Dynamo",2,0,"H","3","1","0","1","8","5","2","1.99","3.51","4.29"
"19","USA","MLS",2012,2012-03-24,"Toronto FC","San Jose Earthquakes",0,3,"A","1","0.5","0.5","3","14","9","3","2.46","3.15","3.36"
"20","USA","MLS",2012,2012-03-24,"Columbus Crew","Montreal Impact",2,0,"H","0","0.5","1.5","2","13","12","2","1.69","3.79","6.01"
"21","USA","MLS",2012,2012-03-24,"New England Revolution","Portland Timbers",1,0,"H","0","2","1","2","19","6","1","3.21","3.34","2.44"
